Name,Genre,Sub-Genre,Qiqi,George,Mean,Director,BasedOnBooks
Harry Potter and the Deathly Hallows I,Fantasy,,9.5,9.5,9.5,,Y
Harry Potter and the Deathly Hallows II,Fantasy,,9.5,9.5,9.5,,Y
Harry Potter and the Half Blood Prince,Fantasy,,9,9,9,,Y
Harry Potter and the Prisoner of Azkaban,Fantasy,,9,9,9,,Y
Harry Potter and the Chamber of Secrets,Fantasy,,8.5,8.5,8.5,,Y
Harry Potter and the Goblet of Fire,Fantasy,,8.5,8.5,8.5,,Y
Harry Potter and the Philosopher's Stone,Fantasy,,8.5,9,8.75,,Y
Gladiator,Action & Adventure,Historical,8,9,8.5,Ridley Scott,N
Midsommar,Drama,Suspense,8,6.5,7.25,Ari Aster,Y
The Account,Drama,Action,8,8,8,Ronan Glennane,N
The Gentlemen,Gangster,Action,8,8.5,8.25,Guy Ritchie,N
Don't Look Up,Comedy,Satirical,7.5,8,7.75,,N
The Talented Mr Ripley,Psychological Thriller,Drama,7.5,7.5,7.5,,Y
Baby Driver,Action & Adventure,Drama,7,6,6.5,,N
Bad Trip,Comedy,Hidden Camera,7,7,7,,N
Harry Potter and the Order of the Phoenix,Fantasy,,7,7,7,,Y
The Candy Man,Horror,,6,4,5,Jordan Peele,N
The Hitman's Wife's Bodyguard,Comedy,Action & Adventure,6,6.5,6.25,,N
The Island,Sci-fi,Action,6,6,6,,Y
Shaun of the Dead,Comedy,Horror,7,8,7.5,Edgar Wright,N
Hot Fuzz,Comedy,Action,9,10,9.5,Edgar Wright,N
My Neighbour Totoro,Anime,Adeventure,9,7.5,8.25,Hayao Miyazaki,N
Spirited Away,Anime,Adeventure,10,7.5,8.75,Hayao Miyazaki,N
Get Out,Horror,Thriller,9.5,7.5,8.5,Jordan Peele,N
Fight Club,Action,Psychological Thriller,8,9,8.5,David Fincher,N
Seven,Mystery,Psychological Thriller,9.5,8.5,9,David Fincher,N
In Bruges,Dark Comedy,Action,7,8.5,7.75,Martin McDonagh,N
Identity Theif,Comedy,Crime,7,7,7,Seth Gordon,N
White chicks,Comedy,,9.5,6,7.75,Keenen Ivory Wayans,N
Home Alone,Comedy,,8.5,7.5,8,Chris Columbus,N
Home Alone 2,Comedy,,8,7,7.5,Chris Columbus,N
Annihilation,Action & Adventure,Sci-fi,6.5,6.5,6.5,Alex Garlend,Y
Inception,Sci-fi,,8,8,8,Christopher Nolan,N
Superbad,Comedy,,8,8.5,8.25,Greg Mottola,N
Pineapple Express,Comedy,,0,7.5,3.75,David Gordon Green,N
The Congress,Mindfuck,,8,8,8,Ari Folman,N
The Matrix,Sci-fi,,9,9.5,9.25,Wachoskis,N
The Matrix Reloaded,Sci-fi,,8,8,8,Wachoskis,N
The Matrix Revolutions,Sci-fi,,8.5,8.5,8.5,Wachoskis,N
The Matrix Ressurections,Sci-fi,,8.5,8,8.25,Wachoskis,N
